movie_id,company_id,company_name
55057,34,Sony Pictures
55058,38555,Cinema 7 Film Group
78559,171211,Carrere Group D.A.
78559,171212,Cinémane Films
78559,1115,M6 Films
1029595,15567,Boyana Film
1029595,22082,Bulgaria Film
442267,76921,Les Films d'Ici
442267,86677,ali n'films
442267,134956,Film Factory
505436,17311,Les Films du 24
505436,356,TF1 Films Production
505436,66233,Les Films du Premier
538675,7128,Ecce Films
33623,12030,Ateliers de Baere
33623,107357,Bluelight l'Ecole
33623,207,Agat Films & Cie / Ex Nihilo
78562,11244,France 3
78562,13799,Hamster Productions
78562,582,Hachette Première
111235,13930,Embrafilme
111235,147039,Morena Filmes
820065,230495,Bizkaia P.C.
820065,31123,EiTB
111193,99373,The Fireworks Company
111193,17610,Lobster Enterprises
33652,5326,Igloolik Isuma Productions Inc.
33652,5327,Kunuk Cohn Productions
111234,21752,Pandora Machine
14390,13190,Lemon Sky Productions
14390,6996,Apostle
14390,12026,Gold Circle Films
14390,188031,In-Motion AG Movie & TV Productions
14390,738,Myriad Pictures
317177,168,Jadran Film
317177,44449,Kinema Sarajevo
317177,44450,Kinema
55060,11143,Madragoa Filmes
55060,6584,Gemini Films
55061,7091,Access Motion Pictures
55061,31067,Reality Pictures In Motion
55061,31068,F & A Production Services
111237,1039,Channel One
111237,170585,Mosfilm
111237,104485,CGF Films
111237,24294,Kuryer Film Studio
111237,15755,Ministry of Culture of the Russian Federation
373339,56485,Act III Productions
55036,364,The Rank Organisation
55036,4317,Euston Films
442234,28815,Raiz Produções Cinematográficas
442234,13930,Embrafilme
442249,2481,Platinum Dunes
442249,3172,Blumhouse Productions
442249,33,Universal Pictures
505321,53597,Sky Italia
505321,115105,Magnitudo
243233,73878,Terz Filmproduktion
243233,16844,Zero One Film
243233,73876,Ö-Filmproduktion
505527,127464,"Mater Spei, A.I.E."
55064,83,France 2 Cinéma
55064,6584,Gemini Films
14394,3708,K Sera Sera Limited
14394,3709,Z Picture Company
14394,3750,Balaji Motion Pictures
55063,43916,Late Night and Weekends
78564,999,Belstar Productions
78564,2359,Stéphan Films
78564,900,Les Films de la Tour
33639,84367,Rolling Kansas LLC
33639,12026,Gold Circle Films
505579,3604,Grindstone Entertainment Group
505579,104321,Groove Tails Productions
505579,93419,Primary Wave Entertainment
505579,104322,Rod Movies AIE
505579,59593,AMBI Group
14392,14714,China Film Group Corporation
14392,5346,Applause Pictures
14392,5552,Media Asia Films
14392,5636,Beijing Jinyinma Movie & TV Culture Co.
14392,6838,Stellar Mega Films
14392,11417,Chengtian Entertainment
14392,12183,Morgan & Chan Films
14392,12184,Talent Aid International
14392,30148,Bona Film Group
14406,2901,ADR Productions
14406,11066,Agence BJP
767524,7317,Cinema Libre Studio
295804,81956,FreibeuterFilm
373365,13561,Ministero del Turismo e dello Spettacolo
373365,77115,Belial
373399,16612,Stopline Films
180117,86282,TANGRAM
442314,7584,Screen Australia
442314,6827,Madman
442314,294,New Zealand Film Commission
55044,2992,Acrobat Productions
55044,5,Columbia Pictures
78590,89617,Lakshmishree Combines
33644,25,20th Century Fox
373354,52494,Les Productions du Verseau
14410,43,Fox Searchlight Pictures
55049,6584,Gemini Films
55049,16366,La Sept Cinéma
55049,11143,Madragoa Filmes
55049,310,CNC
55049,104,Canal+
33665,5334,Faces Distribution
78567,41179,Moneypenny Filmproduktion
78567,4606,ZDF
505423,13184,Annapurna Pictures
505423,114128,Two & Two Pictures
505423,114129,AZA Films
317214,108799,twofour54
317214,6736,Imagenation Abu Dhabi FZ
317214,84789,Rotana Film Production
317214,110566,Afmfilms
317214,94807,Imaginarium Films
317214,6408,International Traders
317214,104121,AMP Media
243270,24690,Manacoa Films
55033,12164,Feature Films for Families
33646,5323,Thompson Street Entertainment
243362,8491,Instituto Português da Arte Cinematográfica e Audiovisual
243362,16421,Rosa Filmes
243362,8492,RTP
442266,13318,Récifilms
33676,5337,Tijuana Productions
33676,5338,Tiberius Film Productions
33676,112748,Embassy Pictures
14399,7570,Videocine
243451,80325,Glaz Entretenimento
14397,33,Universal Pictures
14397,12026,Gold Circle Films
14397,20851,H2F Entertainment
14397,24006,Yukon Film Incentive Program
14397,181992,Mandate International
14413,2905,Bonne Pioche Productions
111233,153898,Smiley Films
111233,6205,FGH
111233,6206,International Film Management
55080,68915,Suburban Tempe Company
602863,121972,À Punt
602863,981,TVE
14398,41,Orion Pictures
14398,3589,Kouf/Bigelow Productions
505513,55802,MM2 Entertainment
505513,74135,WUZHOU FILM DISTRBUTION
505513,148030,As One Production
505513,83838,Wanda Pictures
373378,1701,Dania Film
373378,1583,RAI
340746,7036,CJ Entertainment
340746,84678,BA Entertainment
442270,39545,Alpes Cinéma
180147,58784,Alazraki Films
55059,56115,Apollo Productions
55093,11225,DAP Italy
55093,11227,HDNM Entertainment
55093,11228,RTI - Reti Televisive Italiane
295800,98237,Commune Image Média
295800,98235,La Vingt-Cinquième Heure
295800,98236,Président Production
14400,6750,Pan-Européenne
14400,856,Wild Bunch
14400,356,TF1 Films Production
14400,139617,Araneo
14400,104,Canal+
14400,14362,October Pictures
14416,2907,Stick Films
33682,487,Česká televize
33682,4595,Negativ
33682,789,Pallas Film
33682,4606,ZDF
33682,587,ARTE
505514,79223,Iranian Independents
180159,73108,Metrojavier
180159,74263,El Paso P. C.
243459,39619,Alya Productions
243459,1117,Antenne 2
243459,310,CNC
243459,39620,Expand Drama
243459,792,RTBF
243459,859,Saga Film
243459,1245,TSR
243459,20662,TV5 Monde
557968,19349,Green Fish Pictures
557968,71853,Little Big Pictures
557968,113550,Landmark Asia Holdings
557968,19350,Musa Productions
33660,5331,Good Dog Productions
33660,5332,Utopia Pictures
33660,5333,Zeta Entertainment
243462,132424,Court TV
243462,89394,RadicalMedia
