movie_id,keyword_id,keyword_name
24803,220064,culinary arts
24803,222186,publishing
24803,296852,gastronomia
24803,303164,celebrity chef
24803,324574,chef female lead
394844,7202,balkan war
45182,1009,baby
45182,708,runaway
45182,3725,pregnancy
45182,9840,romance
45182,18425,teenage love
45182,164495,seaman
45182,189142,welfare
45182,200663,vagrancy
45182,208591,abortion
45182,208611,1950s
45182,236634,youth correctional facility
45182,256946,"queensland, australia"
286940,818,based on novel or book
95269,6278,scholarship
95269,5809,marriage crisis
95269,9935,travel
95269,155624,envy
95269,227982,returning to roots
95269,229351,professional jealousy
95269,229352,opportunism
132711,232421,joseon dynasty
357416,6075,sports
357416,9914,slice of life
357416,10873,school
357416,15058,swimming
357416,210024,anime
24811,290,angel
24811,184559,guardian angel
67644,293383,bidonvilles
67644,297926,fln (algerian national liberation front)
67644,298955,algerian diaspora
270938,1794,yakuza
270938,11399,marine
270938,14955,fighting
8780,276,"philadelphia, pennsylvania"
8780,3725,pregnancy
8780,7638,surrogate mother
183252,6483,ice hockey
183252,10637,food
183252,196683,operetta
8816,240,underdog
8816,818,based on novel or book
8816,1192,sweden
8816,6464,uncle
8816,10199,gay interest
8816,9957,loneliness
8816,11004,rural area
8816,15162,dog
8816,34115,transsexual
8816,156928,tomboy
8816,208611,1950s
8816,209476,boxing
132706,308622,celebrity cameo
132706,310062,actor playing themself
8810,2546,mask
8810,5657,australia
8810,3713,chase
8810,1653,explosive
8810,4565,dystopia
8810,1789,boomerang
8810,5011,deal
8810,4458,post-apocalyptic future
8810,2804,exploitation
8810,3203,pilot
8810,3289,villain
8810,5650,feral child
8810,5890,community
8810,8440,ex-cop
8810,9663,sequel
8810,9276,truck
8810,10590,oil
8810,10689,wasteland
8810,12365,gang rape
8810,14736,motorcycle gang
8810,15162,dog
8810,17937,desolate
8810,157701,psychotic
8810,158269,oil refinery
8810,172841,music box
8810,175428,adventurer
8810,175994,oil tanker
8810,192213,wanderer
8810,200918,angry
8810,201864,hostile
8810,202371,aggressive
8810,208156,frantic
8810,210162,grim
8810,219404,action hero
8810,269233,good versus evil
8810,325766,antagonistic
8810,325813,exuberant
