,international,worldwide,domestic,error
tt0107175,0.0,0.0,0.0,
tt1043845,0.0,0.0,0.0,
tt0354593,2298488.0,2298488.0,0.0,
tt0145010,0.0,0.0,0.0,
tt0887732,6854122.0,6966224.0,112102.0,
tt0087384,0.0,11113806.0,11113806.0,
tt4741686,5777198.0,5777198.0,0.0,
tt0192213,0.0,0.0,0.0,
tt0105827,0.0,0.0,0.0,
tt1999103,0.0,0.0,0.0,
tt0163777,0.0,0.0,0.0,
tt0089066,0.0,0.0,0.0,
tt0118834,0.0,0.0,0.0,
tt1034090,0.0,22180.0,22180.0,
tt0069948,0.0,0.0,0.0,
tt4515544,2351182.0,2351182.0,0.0,
tt0191654,0.0,0.0,0.0,
tt0113254,0.0,0.0,0.0,
tt0276773,0.0,0.0,0.0,
tt0181912,251474.0,503548.0,252074.0,
tt1368491,493439.0,602059.0,108620.0,
tt0090171,0.0,0.0,0.0,
tt0080094,0.0,0.0,0.0,
tt1227189,270934.0,270934.0,0.0,
tt0070734,0.0,0.0,0.0,
tt0110854,0.0,0.0,0.0,
tt5158306,0.0,0.0,0.0,
tt1213641,60776673.0,105713218.0,44936545.0,
tt6826438,9862726.0,9862726.0,0.0,
tt8986808,20620.0,20620.0,0.0,
tt0460745,97964.0,338440.0,240476.0,
tt0069973,0.0,0.0,0.0,
tt0118912,0.0,0.0,0.0,
tt1290400,106149.0,106149.0,0.0,
tt0110081,0.0,2332728.0,2332728.0,
tt0371998,0.0,0.0,0.0,
tt0120588,0.0,0.0,0.0,
tt5717484,55736.0,55736.0,0.0,
tt3510718,647847.0,647847.0,0.0,
tt0083365,0.0,3256082.0,3256082.0,
tt2751392,0.0,0.0,0.0,
tt0094713,0.0,0.0,0.0,
tt0077723,0.0,0.0,0.0,
tt0459405,0.0,0.0,0.0,
tt5962210,122523.0,3146831.0,3024308.0,
tt0418647,5990639.0,38741732.0,32751093.0,
tt0092718,0.0,31623833.0,31623833.0,
tt1211956,112192336.0,137328301.0,25135965.0,
tt4572820,0.0,80141.0,80141.0,
tt0484453,0.0,0.0,0.0,
tt0840322,0.0,719556.0,719556.0,
tt0311110,719669.0,8211508.0,7491839.0,
tt0815241,627955.0,13639115.0,13011160.0,
tt0810988,67715.0,130880.0,63165.0,
tt0147337,0.0,0.0,0.0,
tt0372000,0.0,0.0,0.0,
tt0073815,0.0,0.0,0.0,
tt0090182,0.0,0.0,0.0,
tt9787732,0.0,0.0,0.0,
tt2948266,0.0,17909.0,17909.0,
tt0081748,0.0,6659377.0,6659377.0,
tt1498709,0.0,0.0,0.0,
tt0100454,0.0,0.0,0.0,
tt0479468,239858.0,1491958.0,1252100.0,
tt1634300,0.0,0.0,0.0,
tt0262571,0.0,0.0,0.0,
tt0468520,0.0,0.0,0.0,
tt0075076,0.0,0.0,0.0,
tt4518298,0.0,0.0,0.0,
tt4393278,77740.0,77740.0,0.0,
