movie_id,title,url_wiki,lang.,revenue,revenue_wiki,revenue_mojo,ratio,revenue_delta,revenue_delta_2,revenue_synthetic,budget,budget_wiki,budget_delta,budget_synthetic,synthetic_ratio,revenue_fix,budget_fix,Status,reason
290555,Wolves,https://en.wikipedia.org/wiki/Wolves_(2014_film),en,0,491200,491154,0,0,1,491154,18000000,18000000,0,18000000,0,,,Keep,
15152,"OSS 117: Cairo, Nest of Spies","https://en.wikipedia.org/wiki/OSS_117:_Cairo,_Nest_of_Spies",fr,0,23100000,23055884,0,0,1,23055884,0,17814276,-1,17814276,1,,,,
16276,The Tiger Brigades,https://en.wikipedia.org/wiki/The_Tiger_Brigades_(film),fr,0,10700000,5065581,0,1,1,5065581,0,17800000,-1,17800000,0,,,,
37737,Kites,https://en.wikipedia.org/wiki/Kites_(film),hi,0,14019195,11906497,0,0,1,11906497,0,17685754,-1,17685754,1,,,,
24595,Blue,https://en.wikipedia.org/wiki/Blue_(2009_film),hi,0,13617474,802050,0,1,1,802050,17500000,15982951,0,17500000,0,,,,
37302,Left Behind: The Movie,https://en.wikipedia.org/wiki/Left_Behind:_The_Movie,en,0,4200000,4224065,0,0,1,4224065,0,17400000,-1,17400000,0,,,,
506528,Harriet,https://en.wikipedia.org/wiki/Harriet_(film),en,0,44000000,43347017,0,0,1,43347017,17000000,17000000,0,17000000,3,,,Keep,
13778,Dickie Roberts: Former Child Star,https://en.wikipedia.org/wiki/Dickie_Roberts:_Former_Child_Star,en,0,23700000,23769505,0,0,1,23769505,0,17000000,-1,17000000,1,,,,
15639,Larry the Cable Guy: Health Inspector,https://en.wikipedia.org/wiki/Larry_the_Cable_Guy:_Health_Inspector,en,0,15600000,15680099,0,0,1,15680099,0,17000000,-1,17000000,1,,,,
23945,Carpool,https://en.wikipedia.org/wiki/Carpool_(1996_film),en,0,3300000,3325651,0,0,1,3325651,17000000,17000000,0,17000000,0,,,Keep,
375804,Camping 3,https://en.wikipedia.org/wiki/Camping_3,fr,0,24200000,24224579,0,0,1,24224579,0,16900000,-1,16900000,1,,,,
16820,F/X2,https://en.wikipedia.org/wiki/F/X2,en,0,21100000,21082165,0,0,1,21082165,16400000,18000000,0,16400000,1,,,,
18899,Vengeance,https://en.wikipedia.org/wiki/Vengeance_(2009_film),cn,0,1346952,1423604,0,0,1,1423604,0,16275120,-1,16275120,0,,,,
263471,I,https://en.wikipedia.org/wiki/I_(2015_film),ta,0,38598613,3200113,0,1,1,3200113,0,16126431,-1,16126431,0,,,,
14709,Varsity Blues,https://en.wikipedia.org/wiki/Varsity_Blues_(film),en,0,54300000,54294169,0,0,1,54294169,0,16000000,-1,16000000,3,,,,
10994,White Oleander,https://en.wikipedia.org/wiki/White_Oleander_(film),en,0,21000000,21672284,0,0,1,21672284,0,16000000,-1,16000000,1,,,,
39233,Once Around,https://en.wikipedia.org/wiki/Once_Around,en,0,14851083,14851083,0,0,1,14851083,0,16000000,-1,16000000,1,,,,
375798,Brice 3,https://en.wikipedia.org/wiki/Brice_3,fr,0,14000000,14039310,0,0,1,14039310,0,16000000,-1,16000000,1,,,,
185567,Zulu,https://en.wikipedia.org/wiki/Zulu_(2013_film),en,0,2600000,2636607,0,0,1,2636607,16000000,16000000,0,16000000,0,,,Keep,
26810,A Common Thread,https://en.wikipedia.org/wiki/A_Common_Thread,fr,0,2421930,1818293,0,0,1,1818293,0,16000000,-1,16000000,0,,,,
27350,McBain,https://en.wikipedia.org/wiki/McBain_(film),en,0,456127,456127,0,0,1,456127,0,16000000,-1,16000000,0,,,,
80287,Rent-a-Cop,https://en.wikipedia.org/wiki/Rent-a-Cop,en,0,295000,295000,0,0,1,295000,0,16000000,-1,16000000,0,,,,
35696,Juwanna Mann,https://en.wikipedia.org/wiki/Juwanna_Mann,en,0,13800000,13802599,0,0,1,13802599,15600000,15000000,0,15600000,1,,,,
1782,Afterwards,https://en.wikipedia.org/wiki/Afterwards_(2008_film),en,0,3300000,3862534,0,0,1,3862534,15400000,8247422,0,15400000,0,,,,
42094,Micki + Maude,https://en.wikipedia.org/wiki/Micki_%26_Maude,en,0,26200000,26080861,0,0,1,26080861,0,15100000,-1,15100000,2,,,,
12577,Steal,https://en.wikipedia.org/wiki/Steal_(film),en,0,7600000,7662206,0,0,1,7662206,0,15000000,-1,15000000,1,,,,
31692,The Public Eye,https://en.wikipedia.org/wiki/The_Public_Eye_(film),en,0,3067917,3067917,0,0,1,3067917,0,15000000,-1,15000000,0,,,,
11801,Angel,https://en.wikipedia.org/wiki/Angel_(2007_film),en,0,2822161,2835903,0,0,1,2835903,15000000,0,-1,15000000,0,,,,
12505,Little Nikita,https://en.wikipedia.org/wiki/Little_Nikita,en,0,1700000,1733070,0,0,1,1733070,0,15000000,-1,15000000,0,,,,
375327,Submergence,https://en.wikipedia.org/wiki/Submergence_(film),en,0,835347,851960,0,0,1,851960,15000000,17724211,0,15000000,0,,,,
431491,Bodied,https://en.wikipedia.org/wiki/Bodied,en,0,100116,113956,0,0,1,113956,0,15000000,-1,15000000,0,,,,
75033,Winnie Mandela,https://en.wikipedia.org/wiki/Winnie_Mandela_(film),en,0,80634,80634,0,0,1,80634,15000000,15000000,0,15000000,0,,,Keep,
40880,Pandaemonium,https://en.wikipedia.org/wiki/Pandaemonium_(film),en,0,17113,17113,0,0,1,17113,0,15000000,-1,15000000,0,,,,
424619,The Magic Tuche,https://en.wikipedia.org/wiki/Les_Tuche_3,fr,0,47400000,47427990,0,0,1,47427990,0,14800000,-1,14800000,3,,,,
35201,The Holcroft Covenant,https://en.wikipedia.org/wiki/The_Holcroft_Covenant_(film),en,0,393825,393825,0,0,1,393825,0,14774166,-1,14774166,0,,,,
308165,Action Jackson,https://en.wikipedia.org/wiki/Action_Jackson_(2014_film),hi,0,11164524,11060963,0,0,1,11060963,0,14754878,-1,14754878,1,,,,
30789,Venom,https://en.wikipedia.org/wiki/Venom_(1981_film),en,0,5200000,5229643,0,0,1,5229643,0,14700117,-1,14700117,0,,,,
319341,Daddy or Mommy,https://en.wikipedia.org/wiki/Daddy_or_Mommy,fr,0,21800000,21835307,0,0,1,21835307,0,14600000,-1,14600000,1,,,,
260312,The Yellow Eyes of Crocodiles,https://en.wikipedia.org/wiki/Les_Yeux_jaunes_des_crocodiles,fr,0,6100000,6056272,0,0,1,6056272,0,14563106,-1,14563106,0,,,,
12406,Inju: The Beast in the Shadow,https://en.wikipedia.org/wiki/Inju:_The_Beast_in_the_Shadow,fr,0,676097,676097,0,0,1,676097,0,14548022,-1,14548022,0,,,,
