company_id,company_name,parent_id
14384,Translux,14384
63893,Téléma,63893
12682,UBU Film,12682
60065,Uniofilm,60065
23567,VT Films,23567
17164,Verdeoro,17164
78490,Vodafone,78490
18046,Vox Film,18046
83399,WAG Prod,83399
10946,WDR/Arte,10946
8923,WMG Film,8923
94196,Wee Buns,94196
76100,Wildkite,76100
21246,Wildside,21246
67985,Woodcote,67985
11237,ZDF/Arte,11237
133881,bellpark,133881
77765,film 653,77765
2688,filmpool,2688
33214,i/o post,33214
26927,i5 Films,26927
42467,iQ Films,42467
4651,Фокс,4651
5517,100 Bares,5517
75040,1000 Volt,75040
91093,104 Films,91093
19233,120 Films,19233
42210,2 minutes,42210
68579,235 Films,68579
22108,2am Films,22108
111073,3BlackDot,111073
15544,408 Films,15544
11367,4DH Films,11367
92392,606 Films,92392
18892,852 Films,18892
3742,900 Films,3742
11043,A&M Films,11043
8760,AAR Films,8760
36546,ADC Films,36546
21817,ANA Media,21817
5140,APT Films,5140
16661,ARTE GEIE,16661
3705,ASP White,3705
53904,ATR Films,53904
12383,Abe Shuji,12383
3830,Acme Date,3830
1424,Ada Films,1424
26770,Aeroplano,26770
46353,Agent Two,46353
138854,Alter Ego,138854
24017,Andy Joke,24017
867,Anka Film,867
49386,Antzworks,49386
28809,Aquafilms,28809
53334,Archimede,53334
26954,Ares Film,26954
74786,Argo Film,74786
37385,Ark Media,37385
89588,Ars Media,89588
109271,Art Vista,109271
43272,Art4noise,43272
27635,Artileria,27635
4639,Arzu Film,4639
3033,Asmik Ace,3033
113923,Ava Media,113923
1565,Avery Pix,1565
51469,Avex Inc.,51469
8090,BBC Earth,8090
288,BBC Films,288
114117,BET Films,114117
22393,Babe Film,22393
208,Bac Films,208
11461,Bad Robot,11461
6734,Bay Films,6734
48815,Bech Film,48815
43999,Bell-Film,43999
58840,Bellatrix,58840
5850,Belvision,5850
72110,Best Film,72110
84893,Bewitched,84893
6275,BiBi Film,6275
188,Big Beach,188
2205,Big World,2205
77939,BlackBird,77939
27444,Blogmedia,27444
10230,Blue Wolf,10230
107356,BlueLight,107356
28176,Bomar OOD,28176
715,Bona Fide,715
91991,Bowfinger,91991
41735,Buffalo 8,41735
52473,Buzz Kill,52473
19665,C - Films,19665
22284,CAT Films,22284
5490,CBS Films,5490
102302,CD2 Films,102302
3186,CINEFACTO,3186
20008,CMW Films,20008
29605,CNN Films,29605
89589,Cameofilm,89589
83744,Camp Grey,83744
33660,Camp Hill,33660
6878,Canal Sur,6878
49167,Capricorn,49167
8870,CatchPlay,8870
20339,Chapter 2,20339
35212,Chezville,35212
81614,Chop Flix,81614
105,CiBy 2000,105
1819,Cinema 77,1819
4764,Cinema 84,4764
104411,Cinema 86,104411
61741,Cinemagic,61741
12219,Cinereach,12219
10378,Cineritmo,10378
108781,Cinestate,108781
13170,Cinetotal,13170
2832,Cineville,2832
84804,Cinevista,84804
30233,Cinémage,30233
664,City Film,664
10952,Coficup 2,10952
31138,Coin Film,31138
107273,Collector,107273
12307,Creatures,12307
10900,Cyrkfilms,10900
112208,D&D Films,112208
30410,D7 Filmes,30410
11225,DAP Italy,11225
429,DC Comics,429
7225,DHX Media,7225
58085,DMC Films,58085
284,DNA Films,284
1854,Dan Films,1854
36143,Daniel 13,36143
6448,Darclight,6448
8739,Das Films,8739
126293,Dhutayeon,126293
93163,Digital +,93163
12073,Dillywood,12073
22151,Directors,22151
16125,Duo Films,16125
12205,EDKO Film,12205
10405,EFO Films,10405
538,EMI Films,538
63612,ETA films,63612
11463,Edge City,11463
90303,Ekip Film,90303
88520,El Atleta,88520
60472,Ems Films,60472
850,Eurimages,850
81130,FAI Films,81130
46891,FILM FACE,46891
91809,FMFilm.no,91809
3261,FWW Films,3261
3079,Fantefilm,3079
5051,Faso Film,5051
10381,Feil Film,10381
42712,Fida Film,42712
98157,Film Camp,98157
58716,Film Four,58716
15224,Film Tank,15224
7786,FilmWorks,7786
66152,Filmacres,66152
28812,Filmanova,28812
1031,Filmazure,1031
17593,Filmhuset,17593
6082,Filmirage,6082
12640,Filmkraft,12640
12425,Filmtribe,12425
10688,Filmtrust,10688
7290,Filmworks,7290
33257,Fineworks,33257
73957,"Firm, The",73957
53085,First Sun,53085
137063,Focus Sat,137063
76352,Fond kino,76352
40230,Forastero,40230
2613,Futurikon,2613
1599,GG Studio,1599
8237,GMA Films,8237
139051,Gale Cine,139051
11360,Gam Films,11360
25713,Ghost VFX,25713
818,Gimages 5,818
500,Goldcrest,500
122556,Goldfinch,122556
103698,Good Fear,103698
1053,Got Films,1053
96686,Gulf Film,96686
9334,GötaFilm,9334
931,HAL Films,931
2434,HB Filmes,2434
7429,HBO Films,7429
15461,HSX Films,15461
4714,HSX Films,4714
114638,Hailstone,114638
16618,Hector BV,16618
35211,Hepp Film,35211
46222,Hey Eddie,46222
71156,Hype Film,71156
93105,IAC Films,93105
46111,IBC MOvie,46111
92226,ICF Films,92226
12022,IDTV Film,12022
307,IFC Films,307
667,IFMD Ltd.,667
7437,IM Global,7437
630,IPC Films,630
1930,IRS Media,1930
7705,ITC Movie,7705
30249,IWC Media,30249
302,Ibermedia,302
93785,Icon Film,93785
96900,Idas Film,96900
18889,Il Luster,18889
11989,Interfest,11989
40161,Interstar,40161
36650,Iron Film,36650
52621,JAP Films,52621
69619,JJS Films,69619
26568,JPG Films,26568
76469,JR Kikaku,76469
7406,JTP Films,7406
24021,Jax Media,24021
2985,Jaz Films,2985
39443,Jolie Pas,39443
93381,Jon Kilik,93381
22297,Jonesfilm,22297
34994,Julijette,34994
32393,KBS Films,32393
22182,KC Medien,22182
71638,KCN Films,71638
2872,KGB Films,2872
51566,KGB Media,51566
137904,KNM Films,137904
132974,Keshet TV,132974
74607,Kick Film,74607
2526,Kickstart,2526
40967,King City,40967
21179,Kinoslovo,21179
8059,Kinosmith,8059
13401,Kinosseur,13401
87362,Koko Film,87362
8518,LBI Media,8518
87598,LGM Films,87598
98615,La Iguana,98615
19245,Lago Film,19245
8081,Last Ride,8081
2137,Le Bureau,2137
14324,Le Cercle,14324
18194,Ledafilms,18194
2286,Linsefilm,2286
1632,Lionsgate,1632
60111,Liverpool,60111
1025,Lolafilms,1025
80485,Lone Wolf,80485
779,Lucky Red,779
42898,Luks Film,42898
84815,M Company,84815
6719,MAUR film,6719
110052,MEGA1FILM,110052
69,MFPV Film,69
658,MI 3 Film,658
36433,MJW Films,36433
746,MTV Films,746
37580,MVP Films,37580
29211,Magic Box,29211
106839,Makeready,106839
55428,Manderlay,55428
72733,Marmalade,72733
117591,Mas Films,117591
133101,Matrioska,133101
1406,Mega Film,1406
2431,MegaColor,2431
41649,Melbarken,41649
2701,Mes Films,2701
13839,Metafilms,13839
80122,Mia Yapim,80122
44992,Miho Film,44992
21904,Mill Film,21904
2616,Mini Film,2616
5123,Miso Film,5123
12125,Moguletta,12125
34725,Moho Film,34725
22071,Mollywood,22071
77155,MonkeyBoy,77155
5562,Mono Film,5562
73328,Monternia,73328
38618,MovieBank,38618
67412,Movistar+,67412
19090,MuchMusic,19090
7763,Multishow,7763
32599,My Cactus,32599
48348,NEOS Film,48348
18737,NFH Films,18737
81536,NYAV Post,81536
90357,Nac Films,90357
96477,New World,96477
46346,Next Film,46346
79791,Nice Guys,79791
53195,Nix Films,53195
125241,No-Office,125241
30816,O' Groove,30816
345,O2 Filmes,345
105388,ODB Films,105388
10473,ONF | NFB,10473
15456,OXL Films,15456
71114,Odra Film,71114
20341,On My Own,20341
54839,One Media,54839
6477,Opus Film,6477
