"Date","Price","Open","High","Low","Vol.","Change %"
"11/01/2008","1,469.00","1,313.90","1,525.90","1,245.90","","14.54%"
"10/01/2008","1,282.50","1,192.90","1,501.90","1,187.80","","6.26%"
"09/01/2008","1,206.95","1,085.55","1,227.55","1,076.55","","10.81%"
"08/01/2008","1,089.25","1,012.25","1,092.35","1,009.25","","7.61%"
"07/01/2008","1,012.25","1,046.00","1,057.15","995.50","","-3.69%"
"06/01/2008","1,051.00","1,025.75","1,051.00","1,010.25","","2.21%"
"05/01/2008","1,028.25","1,004.15","1,057.45","999.85","","2.52%"
"04/01/2008","1,003.00","990.15","1,006.50","971.15","","1.28%"
"03/01/2008","990.35","943.25","1,031.25","943.15","","5.46%"
"02/01/2008","939.05","943.85","949.95","935.25","","-0.51%"
"01/01/2008","943.85","936.15","955.95","931.75","","0.84%"
"12/01/2007","936.00","924.30","947.50","918.60","","1.61%"
"11/01/2007","921.15","900.65","936.55","900.25","","2.26%"
"10/01/2007","900.80","915.40","921.80","899.50","","-1.57%"
"09/01/2007","915.15","939.05","941.45","915.05","","-2.47%"
"08/01/2007","938.35","920.55","952.55","920.25","","2.07%"
"07/01/2007","919.35","922.75","924.05","912.95","","-0.49%"
"06/01/2007","923.90","927.80","932.90","923.80","","-0.41%"
"05/01/2007","927.75","930.75","935.35","922.35","","-0.33%"
"04/01/2007","930.85","940.15","940.35","925.35","","-1.06%"
"03/01/2007","940.85","941.65","952.05","936.25","","-0.09%"
"02/01/2007","941.70","938.10","942.20","930.20","","0.02%"
"01/01/2007","941.50","927.30","943.60","925.20","","1.24%"
"12/01/2006","930.00","928.90","932.80","913.10","","0.07%"
"11/01/2006","929.35","939.25","944.15","925.35","","-1.37%"
"10/01/2006","942.25","945.35","966.75","941.75","","-0.42%"
"09/01/2006","946.25","960.75","962.95","940.25","","-1.57%"
"08/01/2006","961.30","955.00","967.60","954.70","","0.64%"
"07/01/2006","955.15","946.35","960.45","940.35","","0.67%"
"06/01/2006","948.75","946.25","964.05","942.45","","0.32%"
"05/01/2006","945.70","943.20","954.10","927.20","","0.27%"
"04/01/2006","943.20","972.00","972.60","936.30","","-2.92%"
"03/01/2006","971.60","968.35","984.70","965.10","","0.06%"
"02/01/2006","971.00","965.10","980.40","955.10","","1.16%"
"01/01/2006","959.87","1,008.97","1,013.30","959.87","","-4.73%"
