"Date","Price","Open","High","Low","Vol.","Change %"
"08/01/2012","6.6263","6.7989","6.8310","6.5495","","-2.49%"
"07/01/2012","6.7958","6.9115","7.0850","6.7643","","-1.79%"
"06/01/2012","6.9194","7.2747","7.3323","6.8944","","-4.75%"
"05/01/2012","7.2645","6.7211","7.2893","6.6981","","8.10%"
"04/01/2012","6.7203","6.6467","6.8488","6.5696","","1.81%"
"03/01/2012","6.6007","6.6162","6.8808","6.5954","","-0.15%"
"02/01/2012","6.6108","6.7971","6.8509","6.5319","","-2.77%"
"01/01/2012","6.7988","6.8768","7.0402","6.7143","","-1.29%"
"12/01/2011","6.8878","6.7626","7.0283","6.6888","","1.85%"
"11/01/2011","6.7627","6.5002","7.0250","6.4950","","4.01%"
"10/01/2011","6.5017","6.9001","6.9888","6.3080","","-5.27%"
"09/01/2011","6.8632","6.3338","6.9962","6.3257","","8.32%"
"08/01/2011","6.3359","6.2789","6.6192","6.2314","","1.12%"
"07/01/2011","6.2656","6.3205","6.6985","6.2294","","-0.89%"
"06/01/2011","6.3217","6.1670","6.5486","6.1120","","2.48%"
"05/01/2011","6.1685","6.0297","6.4342","5.9750","","2.29%"
"04/01/2011","6.0306","6.3091","6.3805","5.9812","","-4.63%"
"03/01/2011","6.3233","6.3242","6.5144","6.2390","","-0.13%"
"02/01/2011","6.3313","6.4538","6.5465","6.2892","","-1.90%"
"01/01/2011","6.4540","6.7209","6.9507","6.4146","","-3.88%"
"12/01/2010","6.7148","7.0287","7.0449","6.6901","","-4.45%"
"11/01/2010","7.0273","6.6437","7.0763","6.4822","","5.41%"
"10/01/2010","6.6664","6.7460","6.8264","6.5144","","-1.10%"
"09/01/2010","6.7404","7.3834","7.4010","6.6821","","-8.67%"
"08/01/2010","7.3805","7.2059","7.5145","7.0366","","2.31%"
"07/01/2010","7.2139","7.7760","7.8523","7.1983","","-7.25%"
"06/01/2010","7.7782","7.8171","8.1418","7.6132","","-0.46%"
"05/01/2010","7.8139","7.2128","8.0865","7.2128","","7.86%"
"04/01/2010","7.2446","7.2183","7.3594","7.0930","","0.61%"
"03/01/2010","7.2007","7.1100","7.2996","7.0303","","1.12%"
"02/01/2010","7.1211","7.3937","7.5278","7.0941","","-3.62%"
"01/01/2010","7.3887","7.1547","7.3956","6.9920","","3.17%"
"12/01/2009","7.1615","6.9745","7.3623","6.7820","","2.67%"
"11/01/2009","6.9750","7.0964","7.1877","6.7693","","-1.57%"
"10/01/2009","7.0866","6.9709","7.1031","6.7549","","1.75%"
"09/01/2009","6.9645","7.1239","7.3021","6.7839","","-2.21%"
"08/01/2009","7.1217","7.1740","7.3599","6.9990","","-0.94%"
"07/01/2009","7.1895","7.7101","8.0221","7.1799","","-6.79%"
"06/01/2009","7.7129","7.5706","8.0480","7.3529","","2.20%"
"05/01/2009","7.5465","8.0660","8.0919","7.4403","","-6.49%"
"04/01/2009","8.0706","8.2538","8.7423","7.8624","","-2.17%"
"03/01/2009","8.2500","9.0681","9.3345","7.9216","","-8.47%"
"02/01/2009","9.0135","8.3570","9.1091","7.9737","","7.65%"
"01/01/2009","8.3730","7.8441","8.5252","7.6743","","7.04%"
"12/01/2008","7.8221","8.0816","8.5518","7.5046","","-3.35%"
"11/01/2008","8.0935","7.7368","8.5301","7.5809","","4.10%"
"10/01/2008","7.7744","6.9056","8.1820","6.8613","","12.51%"
"09/01/2008","6.9102","6.4410","6.9952","6.4252","","7.08%"
"08/01/2008","6.4536","6.0505","6.4653","6.0430","","6.60%"
"07/01/2008","6.0538","6.0160","6.0929","5.9175","","0.69%"
"06/01/2008","6.0122","5.9985","6.1278","5.8935","","0.11%"
"05/01/2008","6.0053","5.9822","6.1037","5.8858","","0.53%"
"04/01/2008","5.9735","5.9510","6.0510","5.8220","","0.48%"
"03/01/2008","5.9451","6.1616","6.1871","5.9091","","-3.55%"
"02/01/2008","6.1638","6.3737","6.5367","6.1469","","-3.19%"
"01/01/2008","6.3667","6.4716","6.6520","6.2954","","-1.55%"
"12/01/2007","6.4672","6.3908","6.6224","6.3421","","1.27%"
"11/01/2007","6.3864","6.3491","6.4450","6.2195","","0.52%"
"10/01/2007","6.3533","6.4321","6.5444","6.3417","","-1.25%"
"09/01/2007","6.4338","6.8844","6.9385","6.4254","","-6.72%"
"08/01/2007","6.8975","6.7301","7.0470","6.6604","","2.39%"
"07/01/2007","6.7368","6.8333","6.8482","6.6185","","-1.34%"
"06/01/2007","6.8284","6.9126","7.1109","6.8234","","-1.28%"
"05/01/2007","6.9169","6.6960","6.9422","6.6755","","3.22%"
"04/01/2007","6.7009","6.9743","7.0301","6.6767","","-3.97%"
"03/01/2007","6.9780","6.9913","7.1344","6.9263","","-0.21%"
"02/01/2007","6.9929","6.9473","7.1180","6.9165","","0.63%"
"01/01/2007","6.9493","6.8339","7.1001","6.7755","","1.45%"
"12/01/2006","6.8503","6.8437","6.9395","6.7485","","0.00%"
"11/01/2006","6.8502","7.2195","7.2320","6.8200","","-5.16%"
"10/01/2006","7.2226","7.3200","7.4329","7.2020","","-1.54%"
"09/01/2006","7.3358","7.2482","7.3682","7.2095","","1.18%"
"08/01/2006","7.2504","7.2097","7.2699","7.0985","","0.53%"
"07/01/2006","7.2122","7.1951","7.4304","7.1139","","0.12%"
"06/01/2006","7.2038","7.2305","7.3982","7.0625","","-0.43%"
"05/01/2006","7.2347","7.3538","7.4157","7.1714","","-1.61%"
"04/01/2006","7.3533","7.7841","7.8390","7.3391","","-5.61%"
"03/01/2006","7.7901","7.9070","7.9711","7.6386","","-1.55%"
"02/01/2006","7.9130","7.5895","7.9843","7.5800","","4.26%"
"01/01/2006","7.5899","7.9324","7.9801","7.5000","","-4.45%"
"12/01/2005","7.9436","8.0767","8.1227","7.8185","","-1.59%"
"11/01/2005","8.0720","7.9503","8.2833","7.9371","","1.41%"
"10/01/2005","7.9597","7.7470","8.0032","7.6359","","2.75%"
"09/01/2005","7.7470","7.5530","7.8404","7.3625","","2.55%"
"08/01/2005","7.5542","7.7580","7.7630","7.4415","","-2.58%"
"07/01/2005","7.7543","7.8028","7.9736","7.6845","","-0.68%"
"06/01/2005","7.8076","7.4395","7.8562","7.4026","","4.90%"
