"Date","Price","Open","High","Low","Vol.","Change %"
"02/01/2006","0.8389","0.8227","0.8457","0.8215","","1.97%"
"01/01/2006","0.8227","0.8441","0.8474","0.8112","","-2.55%"
"12/01/2005","0.8442","0.8482","0.8578","0.8289","","-0.47%"
"11/01/2005","0.8482","0.8338","0.8591","0.8273","","1.69%"
"10/01/2005","0.8341","0.8317","0.8421","0.8191","","0.36%"
"09/01/2005","0.8311","0.8104","0.8349","0.7940","","2.59%"
"08/01/2005","0.8101","0.8247","0.8268","0.8005","","-1.73%"
"07/01/2005","0.8244","0.8264","0.8426","0.8158","","-0.22%"
"06/01/2005","0.8262","0.8125","0.8346","0.8093","","1.70%"
"05/01/2005","0.8124","0.7774","0.8133","0.7695","","4.58%"
"04/01/2005","0.7768","0.7714","0.7834","0.7618","","0.71%"
"03/01/2005","0.7713","0.7560","0.7779","0.7416","","2.08%"
"02/01/2005","0.7556","0.7672","0.7856","0.7529","","-1.52%"
"01/01/2005","0.7673","0.7378","0.7739","0.7362","","4.03%"
"12/01/2004","0.7376","0.7526","0.7611","0.7314","","-1.95%"
"11/01/2004","0.7523","0.7808","0.7901","0.7497","","-3.82%"
"10/01/2004","0.7822","0.8041","0.8181","0.7782","","-2.76%"
"09/01/2004","0.8044","0.8208","0.8318","0.8033","","-1.97%"
"08/01/2004","0.8206","0.8284","0.8355","0.8070","","-1.43%"
"07/01/2004","0.8325","0.8204","0.8340","0.8022","","1.45%"
"06/01/2004","0.8206","0.8203","0.8365","0.8093","","0.00%"
"05/01/2004","0.8206","0.8335","0.8495","0.8130","","-1.65%"
"04/01/2004","0.8344","0.8118","0.8502","0.8070","","2.72%"
"03/01/2004","0.8123","0.8003","0.8301","0.7971","","1.47%"
"02/01/2004","0.8005","0.8016","0.8083","0.7733","","-0.16%"
"01/01/2004","0.8018","0.7939","0.8108","0.7750","","0.92%"
"12/01/2003","0.7945","0.8347","0.8378","0.7905","","-4.70%"
"11/01/2003","0.8337","0.8633","0.8792","0.8319","","-3.42%"
"10/01/2003","0.8632","0.8574","0.8659","0.8428","","0.64%"
"09/01/2003","0.8577","0.9100","0.9289","0.8517","","-5.82%"
"08/01/2003","0.9107","0.8902","0.9268","0.8747","","2.28%"
"07/01/2003","0.8904","0.8676","0.8999","0.8608","","2.50%"
"06/01/2003","0.8687","0.8535","0.8774","0.8379","","2.40%"
"05/01/2003","0.8483","0.8941","0.8966","0.8377","","-5.10%"
"04/01/2003","0.8939","0.9153","0.9472","0.8933","","-2.33%"
"03/01/2003","0.9152","0.9278","0.9524","0.9015","","-1.19%"
"02/01/2003","0.9262","0.9269","0.9377","0.9140","","-0.24%"
"01/01/2003","0.9284","0.9528","0.9676","0.9164","","-2.52%"
"12/01/2002","0.9524","1.0053","1.0148","0.9516","","-5.26%"
"11/01/2002","1.0053","1.0092","1.0130","0.9825","","-0.43%"
"10/01/2002","1.0096","1.0131","1.0326","1.0069","","-0.38%"
"09/01/2002","1.0135","1.0180","1.0412","1.0001","","-0.47%"
"08/01/2002","1.0183","1.0233","1.0395","1.0077","","-0.45%"
"07/01/2002","1.0229","1.0085","1.0296","0.9790","","1.42%"
"06/01/2002","1.0086","1.0718","1.0757","1.0004","","-5.81%"
"05/01/2002","1.0708","1.1104","1.1127","1.0615","","-3.60%"
"04/01/2002","1.1108","1.1469","1.1476","1.1045","","-3.16%"
"03/01/2002","1.1471","1.1502","1.1588","1.1266","","-0.33%"
"02/01/2002","1.1509","1.1641","1.1682","1.1355","","-1.18%"
"01/01/2002","1.1646","1.1241","1.1671","1.1020","","3.75%"
"12/01/2001","1.1225","1.1159","1.1441","1.1006","","0.63%"
"11/01/2001","1.1155","1.1100","1.1450","1.0959","","0.38%"
"10/01/2001","1.1113","1.0977","1.1277","1.0810","","1.31%"
"09/01/2001","1.0969","1.0984","1.1336","1.0704","","0.08%"
"08/01/2001","1.0960","1.1410","1.1446","1.0813","","-3.96%"
"07/01/2001","1.1412","1.1752","1.1979","1.1325","","-2.99%"
"06/01/2001","1.1764","1.1834","1.1889","1.1525","","-0.48%"
"05/01/2001","1.1821","1.1246","1.1852","1.1096","","5.00%"
"04/01/2001","1.1258","1.1434","1.1499","1.0996","","-1.18%"
"03/01/2001","1.1393","1.0823","1.1429","1.0655","","5.20%"
"02/01/2001","1.0830","1.0669","1.1094","1.0582","","1.43%"
"01/01/2001","1.0677","1.0608","1.0976","1.0419","","0.62%"
"12/01/2000","1.0611","1.1456","1.1494","1.0604","","-7.44%"
"11/01/2000","1.1464","1.1777","1.1945","1.1366","","-2.67%"
"10/01/2000","1.1778","1.1307","1.2155","1.1278","","4.11%"
"09/01/2000","1.1313","1.1250","1.1852","1.1056","","0.52%"
"08/01/2000","1.1254","1.0784","1.1315","1.0761","","4.24%"
"07/01/2000","1.0796","1.0501","1.0882","1.0414","","2.84%"
"06/01/2000","1.0498","1.0669","1.0775","1.0304","","-1.54%"
"05/01/2000","1.0662","1.0961","1.1308","1.0621","","-2.71%"
"04/01/2000","1.0959","1.0455","1.1075","1.0251","","4.78%"
"03/01/2000","1.0459","1.0366","1.0551","1.0206","","0.89%"
"02/01/2000","1.0367","1.0304","1.0640","0.9907","","0.52%"
"01/01/2000","1.0313","0.9940","1.0339","0.9598","","3.90%"
"12/01/1999","0.9926","0.9905","1.0010","0.9618","","0.16%"
"11/01/1999","0.9910","0.9479","0.9964","0.9432","","4.58%"
"10/01/1999","0.9476","0.9363","0.9585","0.9161","","1.24%"
"09/01/1999","0.9360","0.9462","0.9723","0.9315","","-1.12%"
"08/01/1999","0.9466","0.9355","0.9617","0.9234","","1.36%"
"07/01/1999","0.9339","0.9649","0.9894","0.9302","","-3.27%"
"06/01/1999","0.9655","0.9587","0.9751","0.9467","","0.63%"
"05/01/1999","0.9595","0.9442","0.9619","0.9220","","1.42%"
"04/01/1999","0.9461","0.9280","0.9491","0.9183","","1.90%"
"03/01/1999","0.9285","0.9102","0.9365","0.9030","","2.37%"
"02/01/1999","0.9070","0.8782","0.9158","0.8776","","3.08%"
"01/01/1999","0.8799","0.8518","0.8824","0.8399","","3.20%"
"12/01/1998","0.8526","0.8521","0.8526","0.8521","","-1.26%"
"11/01/1998","0.8635","0.8647","0.8635","0.8647","","2.30%"
"10/01/1998","0.8441","0.8466","0.8441","0.8466","","-0.83%"
"09/01/1998","0.8512","0.8543","0.8512","0.8543","","-5.03%"
"08/01/1998","0.8963","0.9074","0.8963","0.9074","","-0.99%"
"07/01/1998","0.9053","0.9088","0.9053","0.9088","","-1.33%"
"06/01/1998","0.9175","0.9216","0.9175","0.9216","","0.95%"
"05/01/1998","0.9089","0.9106","0.9089","0.9106","","-0.38%"
"04/01/1998","0.9124","0.9169","0.9124","0.9169","","-2.59%"
"03/01/1998","0.9367","0.9444","0.9367","0.9444","","1.45%"
"02/01/1998","0.9233","0.9273","0.9233","0.9273","","-0.83%"
"01/01/1998","0.9310","0.9339","0.9310","0.9339","","1.92%"
"12/01/1997","0.9135","0.9167","0.9135","0.9167","","2.08%"
"11/01/1997","0.8949","0.8990","0.8949","0.8990","","2.08%"
"10/01/1997","0.8767","0.8781","0.8767","0.8781","","-2.57%"
"09/01/1997","0.8998","0.9004","0.8998","0.9004","","-2.10%"
"08/01/1997","0.9191","0.9185","0.9191","0.9185","","-1.63%"
"07/01/1997","0.9343","0.9364","0.9343","0.9364","","5.19%"
"06/01/1997","0.8882","0.8885","0.8882","0.8885","","1.57%"
"05/01/1997","0.8745","0.8722","0.8745","0.8722","","-1.39%"
"04/01/1997","0.8868","0.8847","0.8868","0.8847","","3.36%"
"03/01/1997","0.8580","0.8581","0.8580","0.8581","","-1.17%"
"02/01/1997","0.8682","0.8641","0.8682","0.8641","","3.12%"
"01/01/1997","0.8419","0.8357","0.8419","0.8357","","6.29%"
"12/01/1996","0.7921","0.7864","0.7921","0.7864","","0.03%"
"11/01/1996","0.7919","0.7861","0.7919","0.7861","","1.12%"
"10/01/1996","0.7831","0.7748","0.7831","0.7748","","-0.94%"
"09/01/1996","0.7905","0.7810","0.7905","0.7810","","2.16%"
"08/01/1996","0.7738","0.7617","0.7738","0.7617","","0.27%"
"07/01/1996","0.7717","0.7599","0.7717","0.7599","","-2.65%"
"06/01/1996","0.7927","0.7807","0.7927","0.7807","","-0.36%"
"05/01/1996","0.7956","0.7840","0.7956","0.7840","","-0.79%"
"04/01/1996","0.8019","0.7884","0.8019","0.7884","","2.72%"
"03/01/1996","0.7807","0.7650","0.7807","0.7650","","0.15%"
"02/01/1996","0.7795","0.7620","0.7795","0.7620","","-1.54%"
"01/01/1996","0.7917","0.7726","0.7917","0.7726","","6.03%"
"12/01/1995","0.7467","0.7467","0.7467","0.7467","","-1.11%"
"11/01/1995","0.7551","0.7551","0.7551","0.7551","","2.00%"
"10/01/1995","0.7403","0.7403","0.7403","0.7403","","-1.07%"
"09/01/1995","0.7483","0.7483","0.7483","0.7483","","-2.48%"
"08/01/1995","0.7673","0.7673","0.7673","0.7673","","5.62%"
"07/01/1995","0.7265","0.7265","0.7265","0.7265","","-1.16%"
"06/01/1995","0.7350","0.7350","0.7350","0.7350","","-1.70%"
"05/01/1995","0.7477","0.7477","0.7477","0.7477","","1.10%"
"04/01/1995","0.7396","0.7396","0.7396","0.7396","","0.69%"
"03/01/1995","0.7345","0.7345","0.7345","0.7345","","-5.05%"
"02/01/1995","0.7736","0.7736","0.7736","0.7736","","-1.96%"
"01/01/1995","0.7891","0.7891","0.7891","0.7891","","-1.69%"
"12/01/1994","0.8027","0.8027","0.8027","0.8027","","-0.90%"
"11/01/1994","0.8100","0.8100","0.8100","0.8100","","4.33%"
"10/01/1994","0.7764","0.7764","0.7764","0.7764","","-2.47%"
"09/01/1994","0.7961","0.7961","0.7961","0.7961","","-1.75%"
"08/01/1994","0.8103","0.8103","0.8103","0.8103","","-0.65%"
"07/01/1994","0.8156","0.8156","0.8156","0.8156","","-0.18%"
"06/01/1994","0.8171","0.8171","0.8171","0.8171","","-2.69%"
"05/01/1994","0.8397","0.8397","0.8397","0.8397","","-0.58%"
"04/01/1994","0.8446","0.8446","0.8446","0.8446","","-0.87%"
"03/01/1994","0.8520","0.8520","0.8520","0.8520","","-2.38%"
"02/01/1994","0.8728","0.8728","0.8728","0.8728","","-1.72%"
"01/01/1994","0.8881","0.8881","0.8881","0.8881","","-0.15%"
"12/01/1993","0.8894","0.8894","0.8894","0.8894","","0.54%"
"11/01/1993","0.8846","0.8846","0.8846","0.8846","","2.35%"
"10/01/1993","0.8643","0.8643","0.8643","0.8643","","2.78%"
"09/01/1993","0.8409","0.8409","0.8409","0.8409","","-2.44%"
"08/01/1993","0.8619","0.8619","0.8619","0.8619","","-2.96%"
"07/01/1993","0.8882","0.8882","0.8882","0.8882","","4.18%"
"06/01/1993","0.8526","0.8526","0.8526","0.8526","","6.51%"
"05/01/1993","0.8005","0.8005","0.8005","0.8005","","0.34%"
"04/01/1993","0.7978","0.7978","0.7978","0.7978","","-2.33%"
"03/01/1993","0.8168","0.8168","0.8168","0.8168","","-1.71%"
"02/01/1993","0.8310","0.8310","0.8310","0.8310","","3.08%"
"01/01/1993","0.8062","0.8062","0.8062","0.8062","","-0.28%"
"12/01/1992","0.8085","0.8085","0.8085","0.8085","","2.06%"
"11/01/1992","0.7922","0.7922","0.7922","0.7922","","3.88%"
"10/01/1992","0.7626","0.7626","0.7626","0.7626","","8.93%"
"09/01/1992","0.7001","0.7001","0.7001","0.7001","","3.24%"
"08/01/1992","0.6781","0.6781","0.6781","0.6781","","-4.25%"
"07/01/1992","0.7082","0.7082","0.7082","0.7082","","-3.01%"
"06/01/1992","0.7302","0.7302","0.7302","0.7302","","-4.86%"
"05/01/1992","0.7675","0.7675","0.7675","0.7675","","-3.18%"
"04/01/1992","0.7927","0.7927","0.7927","0.7927","","0.25%"
