movie_id,imdb_id,original_language,original_title,release_date,runtime,revenue_dom,revenue_int,revenue_world,revenue_open,budget_usd_adj,ageCert,metacritic_link,metascore,rating_count_imdb,rating_value_imdb,rating_value_tmdb,rating_count_tmdb
4912,tt0270288,en,Confessions of a Dangerous Mind,2002-12-30 00:00:00+00:00,113,16007718.0,17006087.0,33013805,87199.0,30000000,12,https://www.metacritic.com/movie/confessions-of-a-dangerous-mind?ftag=MCD-06-10aaa1c,67.0,83102.0,7.0,6.8,701.0
293646,tt2006295,en,The 33,2015-08-06 00:00:00+00:00,120,12227722.0,15744301.0,27972023,5787266.0,26000000,12,https://www.metacritic.com/movie/the-33?ftag=MCD-06-10aaa1c,55.0,35402.0,6.9,6.3,701.0
6520,tt0113071,en,First Knight,1995-07-07 00:00:00+00:00,134,37600435.0,90000000.0,127600435,10856442.0,55000000,12,https://www.metacritic.com/movie/first-knight?ftag=MCD-06-10aaa1c,57.0,67696.0,6.0,6.0,733.0
1969,tt0416496,es,Bandidas,2006-01-18 00:00:00+00:00,93,,18381890.0,18381890,,38800000,12,/lists/tt0416496,,33938.0,5.7,6.0,765.0
2752,tt0243736,en,40 Days and 40 Nights,2002-03-01 00:00:00+00:00,94,37950822.0,57195461.0,95146283,12229529.0,17000000,12,https://www.metacritic.com/movie/40-days-and-40-nights?ftag=MCD-06-10aaa1c,53.0,70198.0,5.6,5.4,765.0
256917,tt3007512,en,The Water Diviner,2014-12-25 00:00:00+00:00,112,4196641.0,33979676.0,38176317,1220335.0,22500000,12,https://www.metacritic.com/movie/the-water-diviner?ftag=MCD-06-10aaa1c,50.0,70993.0,7.0,6.8,829.0
40264,tt1666186,en,Vampires Suck,2010-08-18 00:00:00+00:00,82,36661504.0,43886362.0,80547866,12202831.0,20000000,12,https://www.metacritic.com/movie/vampires-suck?ftag=MCD-06-10aaa1c,18.0,46385.0,3.4,4.1,861.0
146238,tt2364841,en,Runner Runner,2013-09-24 00:00:00+00:00,91,19316646.0,43358449.0,62675095,7706712.0,30000000,12,https://www.metacritic.com/movie/runner-runner?ftag=MCD-06-10aaa1c,36.0,60345.0,5.6,5.7,893.0
4643,tt0406816,en,The Guardian,2006-09-28 00:00:00+00:00,139,55011732.0,39961808.0,94973540,18006064.0,70000000,12,https://www.metacritic.com/movie/the-guardian?ftag=MCD-06-10aaa1c,53.0,86901.0,6.9,7.1,957.0
241239,tt2937898,en,A Most Violent Year,2014-12-30 00:00:00+00:00,125,5749134.0,6257936.0,12007070,172788.0,20000000,12,https://www.metacritic.com/movie/a-most-violent-year?ftag=MCD-06-10aaa1c,79.0,66127.0,7.0,6.6,989.0
12180,tt1185834,en,Star Wars: The Clone Wars,2008-08-05 00:00:00+00:00,98,35161554.0,33121290.0,68282844,14611273.0,8500000,12,https://www.metacritic.com/movie/star-wars-the-clone-wars?ftag=MCD-06-10aaa1c,35.0,56863.0,5.9,5.9,1146.0
339967,tt4680182,en,Colossal,2016-09-09 00:00:00+00:00,109,3029287.0,1502033.0,4531320,120226.0,15000000,12,https://www.metacritic.com/movie/colossal?ftag=MCD-06-10aaa1c,70.0,58278.0,6.2,6.2,1338.0
20453,tt1187043,hi,3 Idiots,2009-12-23 00:00:00+00:00,170,6532874.0,53729962.0,60262836,1645502.0,11745927,12,https://www.metacritic.com/movie/3-idiots?ftag=MCD-06-10aaa1c,67.0,338999.0,8.4,7.9,1466.0
525661,tt6394270,en,Bombshell,2019-12-13 00:00:00+00:00,108,31762808.0,27873715.0,59636523,319157.0,32000000,12,https://www.metacritic.com/movie/bombshell?ftag=MCD-06-10aaa1c,64.0,80863.0,6.8,6.9,1530.0
4512,tt0443680,en,The Assassination of Jesse James by the Coward Robert Ford,2007-09-07 00:00:00+00:00,160,3909149.0,11092627.0,15001776,147812.0,30000000,12,https://www.metacritic.com/movie/the-assassination-of-jesse-james-by-the-coward-robert-ford?ftag=MCD-06-10aaa1c,68.0,167698.0,7.5,7.0,1658.0
36685,tt0073629,en,The Rocky Horror Picture Show,1975-08-14 00:00:00+00:00,100,112892319.0,267823.0,113160142,,1200000,12,https://www.metacritic.com/movie/the-rocky-horror-picture-show?ftag=MCD-06-10aaa1c,65.0,132069.0,7.4,7.6,1786.0
257091,tt2561572,en,Get Hard,2015-03-26 00:00:00+00:00,100,90411453.0,21300000.0,111711453,33803253.0,40000000,12,https://www.metacritic.com/movie/get-hard?ftag=MCD-06-10aaa1c,34.0,121776.0,6.0,6.0,1914.0
375588,tt4532826,en,Robin Hood,2018-11-21 00:00:00+00:00,116,30824628.0,55668418.0,86493046,9195670.0,100000000,12,https://www.metacritic.com/movie/robin-hood-2018?ftag=MCD-06-10aaa1c,32.0,62972.0,5.3,5.9,2042.0
36658,tt0290334,en,X2,2003-04-24 00:00:00+00:00,133,214949694.0,192761855.0,407711549,85558731.0,110000000,12,https://www.metacritic.com/movie/x2-x-men-united?ftag=MCD-06-10aaa1c,68.0,508306.0,7.4,7.0,7400.0
12405,tt1010048,en,Slumdog Millionaire,2008-05-12 00:00:00+00:00,120,141319928.0,237090185.0,378410113,360018.0,15000000,12,https://www.metacritic.com/movie/slumdog-millionaire?ftag=MCD-06-10aaa1c,84.0,792920.0,8.0,7.7,7656.0
166426,tt1790809,en,Pirates of the Caribbean: Dead Men Tell No Tales,2017-05-23 00:00:00+00:00,129,172558876.0,622322566.0,794881442,62983253.0,230000000,12,https://www.metacritic.com/movie/pirates-of-the-caribbean-dead-men-tell-no-tales?ftag=MCD-06-10aaa1c,39.0,259514.0,6.6,6.6,8656.0
10591,tt0265208,en,The Girl Next Door,2004-04-09 00:00:00+00:00,110,14589444.0,15792278.0,30381722,6003806.0,25000000,12,https://www.metacritic.com/movie/the-girl-next-door-2004?ftag=MCD-06-10aaa1c,47.0,200354.0,6.7,6.6,2165.0
227306,tt1809398,en,Unbroken,2014-12-25 00:00:00+00:00,137,115637895.0,45821402.0,161459297,30621445.0,65000000,12,https://www.metacritic.com/movie/unbroken?ftag=MCD-06-10aaa1c,59.0,147165.0,7.2,7.5,2933.0
7980,tt0380510,en,The Lovely Bones,2009-02-19 00:00:00+00:00,136,44114232.0,49507108.0,93621340,116616.0,65000000,12,https://www.metacritic.com/movie/the-lovely-bones?ftag=MCD-06-10aaa1c,42.0,156171.0,6.7,7.0,3061.0
11253,tt0411477,en,Hellboy II: The Golden Army,2008-07-11 00:00:00+00:00,120,75986503.0,92332740.0,168319243,34539115.0,85000000,12,https://www.metacritic.com/movie/hellboy-ii-the-golden-army?ftag=MCD-06-10aaa1c,78.0,254223.0,7.0,6.7,3573.0
31011,tt0485947,en,Mr. Nobody,2009-11-06 00:00:00+00:00,156,3622.0,3555538.0,3559160,,47000000,12,https://www.metacritic.com/movie/mr-nobody?ftag=MCD-06-10aaa1c,63.0,214405.0,7.8,7.9,4330.0
334524,tt1800302,en,Gold,2016-02-03 00:00:00+00:00,121,7227038.0,7653901.0,14880939,3471316.0,20000000,12,https://www.metacritic.com/movie/gold?ftag=MCD-06-10aaa1c,49.0,56504.0,6.7,6.6,1083.0
1911,tt0120657,en,The 13th Warrior,1999-08-13 00:00:00+00:00,102,32698899.0,29000000.0,61698899,10267756.0,160000000,12,https://www.metacritic.com/movie/the-13th-warrior?ftag=MCD-06-10aaa1c,42.0,115536.0,6.6,6.6,1147.0
10647,tt0223897,en,Pay It Forward,2000-10-20 00:00:00+00:00,122,33519628.0,22187783.0,55707411,9631359.0,40000000,12,https://www.metacritic.com/movie/pay-it-forward?ftag=MCD-06-10aaa1c,40.0,112192.0,7.2,7.2,1147.0
