url,tmdb_id,budget_original_string,budget_currency,budget_min,budget_max,budget_avg,budget_error,box_office_original_string,box_office_currency,box office_min,box_office_max,box_office_avg,box_office_error,external_links,error
https://en.wikipedia.org/wiki/Gas_(1981_film),95093,"C$6,500,000",CAD,6500000.0,6500000.0,6500000.0,,"$2,869,425 (US)[1]",USD,2869425.0,2869425.0,2869425.0,,"{'IMDb': 'https://www.imdb.com/title/tt0082440/', 'AllMovie': 'https://www.allmovie.com/movie/v19274', 'Gas': 'https://web.archive.org/web/20090501071800/http://www.movieretriever.com/movies/587110/Gas', 'Rotten Tomatoes': 'https://www.rottentomatoes.com/m/gas'}",
https://en.wikipedia.org/wiki/Lines_of_Wellington,122198,,,,,,,,,,,,,"{'Official website': 'http://www.linesofwellington.com/', 'IMDb': 'https://www.imdb.com/title/tt1928329/'}",
https://en.wikipedia.org/wiki/Oasis_of_the_Zombies,36835,,,,,,,,,,,,,"{'IMDb': 'https://www.imdb.com/title/tt0086486/', 'AllMovie': 'https://www.allmovie.com/movie/v35885', 'Archived': 'https://somethingawful.com/index.php?a=4182'}",
https://en.wikipedia.org/wiki/El_desencanto,4496,,,,,,,,,,,,,"{'35 mm de cine español': 'http://www.elmundo.es/elmundo/2012/04/20/cultura/1334915405.html', 'IMDb': 'https://www.imdb.com/title/tt0074398/'}",
https://en.wikipedia.org/wiki/Adanggaman,78248,,,,,,,,,,,,,"{'IMDb': 'https://www.imdb.com/title/tt0262210/', 'Filmic Discomfort: Adanggaman and the Legacy of Slavery in West Africa': 'https://cirs.qatar.georgetown.edu/filmic-discomfort-adanggaman-and-the-legacy-of-slavery-in-west-africa/'}",
https://en.wikipedia.org/wiki/Rojo_Amanecer,47916,,,,,,,,,,,,,"{'IMDb': 'https://www.imdb.com/title/tt0098214/', 'Rotten Tomatoes': 'https://www.rottentomatoes.com/m/rojo_amanecer'}",
https://en.wikipedia.org/wiki/Los_Neur%C3%B3ticos,811065,,,,,,,,,,,,,{'IMDb': 'https://www.imdb.com/title/tt0193354/'},
https://en.wikipedia.org/wiki/No_More_Mr._Nice_Guy_(film),6553,,,,,,,,,,,,,{'IMDb': 'https://www.imdb.com/title/tt0108574/'},
https://en.wikipedia.org/wiki/Three_Christs,418533,,,,,,,"$37,788[3][2]",USD,37788.0,37788.0,37788.0,,"{'IMDb': 'https://www.imdb.com/title/tt5706370/', 'AllMovie': 'https://www.allmovie.com/movie/v662969'}",
https://en.wikipedia.org/wiki/The_Bloom_of_Yesterday,417617,,,,,,,,,,,,,"{'Official website': 'http://www.die-blumen-von-gestern.de', 'IMDb': 'https://www.imdb.com/title/tt3756046/'}",
https://en.wikipedia.org/wiki/Family_Matters_(1993_film),185131,,,,,,,,,,,,,"{'Danish Film Database': 'https://www.dfi.dk/en/viden-om-film/filmdatabasen/film/8999', 'IMDb': 'https://www.imdb.com/title/tt0109611/', 'Rotten Tomatoes': 'https://www.rottentomatoes.com/m/family_matters_1999'}",
https://en.wikipedia.org/wiki/Every_Time_We_Say_Goodbye_(film),35866,$3.7 million[1],USD,3700000.0,3700000.0,3700000.0,,"$278,623",USD,278623.0,278623.0,278623.0,,"{'TCM Movie Database': 'https://www.tcm.com/tcmdb/title/74265/enwp', 'IMDb': 'https://www.imdb.com/title/tt0091019/', 'Box Office Mojo': 'https://www.boxofficemojo.com/movies/?id=everytimewesaygoodbye.htm', 'Rotten Tomatoes': 'https://www.rottentomatoes.com/m/every_time_we_say_goodbye'}",
