movie_id,imdb_id,original_language,original_title,release_date,runtime,revenue_dom,revenue_int,revenue_world,revenue_open,budget_usd_adj,ageCert,metacritic_link,metascore,rating_count_imdb,rating_value_imdb,rating_value_tmdb,rating_count_tmdb,is_sequel_my,quarter,month,year,revenue_usd_adj,surplus,ratio_adj,roi,is_released_US,is_released_CN,is_released_FR,is_released_GB,is_released_JP,is_released,digital_physical_date,days_from_us_release
168512,tt0364058,hu,Tesó,2003-05-26 00:00:00+00:00,84,,18501.0,18501,,150310.15282608694,U,/lists/tt0364058,,439.0,6.9,0.0,0.0,0,2,5,2003,29426.142146739126,-135597.08175271738,0.1957694912384661,-0.902115254380767,False,False,False,False,False,False,,9999.0
170954,tt1035731,en,Dare not Walk Alone,2006-08-22 00:00:00+00:00,124,52166.0,,52166,9259.0,174199.40476190476,U,/lists/tt1035731,,89.0,8.6,0.0,0.0,0,3,8,2006,75727.3845734127,-136335.7124751984,0.43471666666666664,-0.7826416666666667,True,False,False,False,False,True,,9999.0
54924,tt1051864,sk,Rozhovor s nepriateľom,2007-03-08 00:00:00+00:00,90,,264.0,264,,1020993.9172960614,U,/lists/tt1051864,,48.0,6.6,0.0,0.0,0,1,3,2007,372.6255172613363,-1020807.6045374307,0.00036496350364963507,-0.9998175182481751,False,False,False,False,False,False,,9999.0
173264,tt1266144,en,Ouma Se Slim Kind,2007-05-11 00:00:00+00:00,94,,12005.0,12005,,964934.9488526202,U,/lists/tt1266144,,21.0,6.7,0.0,0.0,0,2,5,2007,16944.580813342203,-956462.6584459491,0.01756033485313241,-0.9912198325734338,False,False,False,False,False,False,,9999.0
163862,tt1426370,en,Karaoke,2009-09-14 00:00:00+00:00,75,,1943.0,1943,,311088.4031658874,U,/lists/tt1426370,,57.0,6.1,0.0,0.0,0,3,9,2009,2650.4922927047546,-309763.157019535,0.008520061390046043,-0.995739969304977,False,False,False,False,False,False,,9999.0
25766,tt1311072,de,Little Paris,2008-12-18 00:00:00+00:00,106,,32679.0,32679,,2582722.5463648904,U,/lists/tt1311072,,71.0,4.5,0.0,0.0,0,4,12,2008,44419.59817094977,-2560512.7472794154,0.01719874952633573,-0.991400625236832,False,False,False,False,False,False,,9999.0
185142,tt1482980,en,American Meat,2013-04-12 00:00:00+00:00,85,10650.0,,10650,7659.0,635163.496653889,U,https://www.metacritic.com/movie/american-meat?ftag=MCD-06-10aaa1c,40.0,25.0,8.0,0.0,0.0,0,2,4,2013,13379.189077812642,-628473.9021149826,0.02106416560192089,-0.9894679171990395,True,False,False,False,False,True,,9999.0
106076,tt1990976,en,7 Welcome to London,2012-03-09 00:00:00+00:00,109,,31794.0,31794,,502843.12135770096,U,/lists/tt1990976,,133.0,5.1,0.0,0.0,0,1,3,2012,40526.63863167155,-482579.8020418652,0.08059499456261358,-0.9597025027186932,False,False,False,True,False,True,,9999.0
207465,tt0937221,en,The Full Picture,2008-08-08 00:00:00+00:00,80,3467.0,,3467,1358.0,367003.0143565115,U,/lists/tt0937221,,97.0,7.7,0.0,0.0,0,3,8,2008,4712.5905584223165,-364646.7190773004,0.012840740740740741,-0.9935796296296298,True,False,False,False,False,True,,9999.0
152522,tt1034436,en,Dincolo de America,2008-02-10 00:00:00+00:00,110,,2889.0,2889,,1359270.4235426353,U,/lists/tt1034436,,115.0,3.8,0.0,0.0,0,1,2,2008,3926.932253614673,-1357306.957415828,0.0028889999999999996,-0.9985555,False,False,False,False,False,False,,9999.0
115940,tt2229387,nl,Sprookjesboom de film,2012-02-22 00:00:00+00:00,72,,1768177.0,1768177,,2529568.923839473,U,/lists/tt2229387,,89.0,6.3,0.0,0.0,0,1,2,2012,2253829.9778522085,-1402653.934913369,0.8909937011841773,-0.5545031494079113,False,False,False,False,False,False,,9999.0
132352,tt0849480,en,Transformation: The Life and Legacy of Werner Erhard,2006-04-27 00:00:00+00:00,77,49919.0,,49919,25460.0,435498.51190476184,U,/lists/tt0849480,,93.0,6.7,0.0,0.0,0,2,4,2006,72465.50071924603,-399265.76154513884,0.1663966666666667,-0.9168016666666667,True,False,False,False,False,True,,9999.0
39298,tt0756359,he,Yamim Kfuim,2005-01-01 00:00:00+00:00,90,,16187.0,16187,,37462.237583205315,U,/lists/tt0756359,,391.0,6.9,0.0,0.0,0,1,1,2005,24256.04959037378,-25334.212788018427,0.64748,-0.67626,True,False,False,False,False,True,,9999.0
